Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,85.875000,98.242188,83.500000,97.156250,83.890594,145821200
2000-02-07,97.250000,102.875000,96.250000,99.875000,86.238144,118236200
2000-02-14,99.992188,103.250000,95.875000,98.437500,84.996918,134049400
2000-02-21,99.000000,107.500000,96.250000,104.062500,89.853889,150882800
2000-02-28,103.250000,111.125000,100.500000,111.062500,95.898132,151419600
2000-03-06,111.750000,116.437500,106.281250,114.500000,98.866280,166104000
2000-03-13,110.000000,114.125000,101.000000,110.812500,95.682243,214558200
2000-03-20,111.000000,120.500000,103.562500,117.562500,101.510620,120262900
2000-03-27,118.000000,119.500000,103.500000,109.500000,94.548943,130957000
2000-04-03,107.765625,109.125000,88.312500,106.625000,92.066513,186541200
2000-04-10,107.625000,107.687500,78.000000,80.375000,69.400681,203491500
2000-04-17,78.015625,93.625000,78.000000,87.250000,75.336937,140997500
2000-04-24,83.437500,94.750000,79.875000,94.750000,81.812897,147381200
2000-05-01,95.750000,96.875000,85.515625,91.437500,78.952675,108425200
2000-05-08,90.500000,90.750000,79.500000,84.625000,73.070389,111118000
2000-05-15,84.812500,91.500000,81.312500,81.687500,70.533936,109290100
2000-05-22,81.625000,82.625000,72.250000,77.750000,67.134079,173090200
2000-05-29,80.000000,93.937500,80.000000,93.625000,80.841522,121936500
2000-06-05,92.250000,95.312500,89.562500,93.750000,80.949417,105837600
2000-06-12,94.312500,95.312500,89.359375,94.250000,81.381195,101958300
2000-06-19,94.015625,99.718750,91.375000,91.500000,79.006653,108326200
2000-06-26,93.062500,95.500000,90.625000,93.437500,80.679619,92723900
2000-07-03,93.500000,97.000000,90.062500,95.937500,82.838249,61898900
2000-07-10,94.687500,101.125000,92.812500,100.625000,86.885742,82072700
2000-07-17,100.937500,102.062500,95.656250,97.000000,83.755669,89585600
2000-07-24,97.937500,99.000000,86.000000,86.875000,75.013161,120591000
2000-07-31,87.625000,92.765625,83.312500,90.125000,77.819397,125098000
2000-08-07,90.875000,94.437500,87.875000,91.062500,78.628914,84972200
2000-08-14,91.375000,96.625000,90.203125,95.250000,82.244644,71074000
2000-08-21,96.000000,99.953125,93.828125,98.031250,84.646164,75167100
2000-08-28,98.250000,103.515625,97.765625,102.625000,88.612671,63682900
2000-09-04,101.625000,101.750000,94.765625,95.125000,82.136703,77458100
2000-09-11,94.500000,96.125000,90.000000,91.312500,78.844765,139221100
2000-09-18,91.812500,95.234375,87.000000,92.937500,80.247917,148651900
2000-09-25,93.625000,94.250000,88.000000,88.750000,76.632164,131303700
2000-10-02,90.250000,90.250000,81.250000,83.000000,71.667244,158150400
2000-10-09,82.562500,83.812500,74.406250,81.250000,70.156166,208214200
2000-10-16,81.125000,87.875000,74.562500,86.312500,74.527428,229071800
2000-10-23,86.187500,87.500000,73.625000,79.718750,68.834000,230128500
2000-10-30,78.187500,83.937500,75.703125,83.062500,71.721230,180978300
2000-11-06,83.625000,84.125000,71.750000,71.750000,61.953300,202349800
2000-11-13,70.953125,78.062500,68.265625,72.828125,62.884209,241426300
2000-11-20,70.937500,72.062500,66.500000,70.437500,60.820026,165602500
2000-11-27,72.562500,72.937500,60.500000,64.000000,55.261494,282323700
2000-12-04,64.125000,73.500000,61.750000,68.000000,58.715328,296328200
2000-12-11,72.062500,74.781250,62.562500,63.875000,55.153568,235134700
2000-12-18,65.156250,65.968750,54.250000,60.500000,52.239384,347986900
2000-12-25,60.593750,62.484375,58.000000,58.375000,50.404522,151226200
2001-01-01,58.562500,65.250000,52.156250,56.625000,48.893463,307937200
2001-01-08,56.312500,64.625000,53.515625,62.734375,54.168663,309399300
2001-01-15,62.562500,68.312500,60.562500,66.312500,57.258251,204819300
2001-01-22,65.875000,69.125000,63.000000,65.546875,56.597172,242375300
2001-01-29,64.750000,67.989998,60.000000,61.549999,53.146015,225889200
2001-02-05,61.189999,63.119999,56.000000,56.400002,48.699181,244060900
2001-02-12,56.250000,60.490002,54.119999,55.130001,47.602596,307083600
2001-02-19,55.740002,55.840000,48.230000,51.180000,44.191921,324840800
2001-02-26,52.080002,52.599998,45.650002,46.700001,40.323627,444972400
2001-03-05,47.500000,50.660000,44.950001,45.099998,38.942078,288888600
